"@id","State__@id","State__City__@id","State__City__Station__@id","State__City__Station__@lastupdate","State__City__Station__@latitude","State__City__Station__@longitude","State__City__Station__Pollutant_Index__@id","State__City__Station__Pollutant_Index__@Min","State__City__Station__Pollutant_Index__@Max","State__City__Station__Pollutant_Index__@Avg","State__City__Station__Air_Quality_Index__@Value","State__City__Station__Air_Quality_Index__@Predominant_Parameter"
"","","","Railway Colony, Guwahati - PCBA","20-11-2023 12:00:00","26.181742","91.78063","PM2.5","17","300","114","114","PM2.5"
"","","","","","","","PM10","25","169","90","",""
"","","","","","","","NO2","3","5","3","",""
"","","","","","","","SO2","27","47","34","",""
"","","","","","","","CO","10","90","37","",""
"","","","","","","","OZONE","12","36","23","",""
"","","Nagaon","Christianpatty, Nagaon - PCBA","20-11-2023 12:00:00","26.349082","92.68449","PM2.5","3","92","40","112","PM10"
"","","","","","","","PM10","23","193","112","",""
"","","","","","","","NO2","8","38","18","",""
"","","","","","","","NH3","2","4","3","",""
"","","","","","","","SO2","NA","NA","NA","",""
"","","","","","","","CO","1","28","25","",""
"","","","","","","","OZONE","3","65","6","",""
"","","Nalbari","Bata Chowk, Nalbari - PCBA","20-11-2023 12:00:00","26.446912","91.439057","PM2.5","32","385","150","162","PM10"
"","","","","","","","PM10","74","474","162","",""
"","","","","","","","NO2","36","54","44","",""
"","","","","","","","NH3","8","10","9","",""
"","","","","","","","SO2","9","22","13","",""
"","","","","","","","CO","26","110","40","",""
"","","","","","","","OZONE","18","20","18","",""
"","","Silchar","Tarapur, Silchar - PCBA","20-11-2023 12:00:00","24.82827","92.79525","PM2.5","20","26","23","40","PM10"
"","","","","","","","PM10","29","63","40","",""
"","","","","","","","NO2","10","19","15","",""
"","","","","","","","NH3","1","1","1","",""
"","","","","","","","SO2","3","7","5","",""
"","","","","","","","CO","28","44","33","",""
"","","Sivasagar","Girls College, Sivasagar - PCBA","20-11-2023 12:00:00","26.987634","94.636574","PM2.5","7","28","14","47","PM10"
"","","","","","","","PM10","17","99","47","",""
"","","","","","","","NO2","11","18","15","",""
"","","","","","","","NH3","1","2","2","",""
"","","","","","","","SO2","4","7","6","",""
"","","","","","","","CO","8","34","21","",""
"","","","","","","","OZONE","2","5","3","",""
"","Bihar","Araria","Kharahiya Basti, Araria - BSPCB","20-11-2023 12:00:00","26.146529","87.454184","PM2.5","10","332","177","177","PM2.5"
"","","","","","","","PM10","45","261","141","",""
