"@id","State__@id","State__City__@id","State__City__Station__@id","State__City__Station__@lastupdate","State__City__Station__@latitude","State__City__Station__@longitude","State__City__Station__Pollutant_Index__@id","State__City__Station__Pollutant_Index__@Min","State__City__Station__Pollutant_Index__@Max","State__City__Station__Pollutant_Index__@Avg","State__City__Station__Air_Quality_Index__@Value","State__City__Station__Air_Quality_Index__@Predominant_Parameter"
"","","Gandhinagar","GIFT City, Gandhinagar - IITM","20-11-2023 12:00:00","23.163798","72.677768","PM2.5","93","159","129","129","PM2.5"
"","","","","","","","PM10","107","137","121","",""
"","","","","","","","NO2","7","13","8","",""
"","","","","","","","NH3","1","2","1","",""
"","","","","","","","SO2","1","3","2","",""
"","","","","","","","CO","6","16","12","",""
"","","","","","","","OZONE","14","39","18","",""
"","","","IIPHG Lekawada, Gandhinagar - IITM","20-11-2023 12:00:00","23.243639","72.68994","PM2.5","133","333","227","227","PM2.5"
"","","","","","","","PM10","108","178","131","",""
"","","","","","","","NO2","10","14","11","",""
"","","","","","","","NH3","5","5","5","",""
"","","","","","","","SO2","5","6","6","",""
"","","","","","","","CO","29","50","41","",""
"","","","","","","","OZONE","30","36","34","",""
"","","","Sector-10, Gandhinagar - GPCB","20-11-2023 12:00:00","23.221714","72.654328","PM2.5","71","133","95","95","PM2.5"
"","","","","","","","PM10","64","112","86","",""
"","","","","","","","NO2","4","26","10","",""
"","","","","","","","NH3","1","2","1","",""
"","","","","","","","SO2","10","12","11","",""
"","","","","","","","CO","34","127","46","",""
"","","","","","","","OZONE","1","46","15","",""
"","","Nandesari","GIDC, Nandesari - Nandesari Ind. Association","20-11-2023 12:00:00","22.410802","73.097923","PM2.5","23","23","23","50","CO"
"","","","","","","","PM10","16","22","19","",""
"","","","","","","","NO2","2","52","10","",""
"","","","","","","","CO","50","50","50","",""
"","","Surat","Science Center, Surat - SMC","20-11-2023 12:00:00","21.170046","72.795405","PM2.5","28","429","199","199","PM2.5"
"","","","","","","","PM10","29","500","194","",""
"","","","","","","","NO2","5","18","10","",""
"","","","","","","","SO2","9","13","11","",""
"","","","","","","","CO","26","64","51","",""
"","","Vapi","Phase-1 GIDC, Vapi - GPCB","20-11-2023 12:00:00","20.362421","72.918013","PM2.5","52","303","142","184","PM10"
"","","","","","","","PM10","106","331","184","",""
"","","","","","","","NH3","6","6","6","",""
"","","","","","","","SO2","45","46","46","",""
"","","","","","","","CO","130","185","170","",""
"","","","","","","","OZONE","1","6","2","",""
"","","Vatva","Phase-4 GIDC, Vatva - GPCB","20-11-2023 12:00:00","22.969611","72.6435","PM2.5","87","152","107","107","PM2.5"
"","","","","","","","PM10","86","120","101","",""
"","","","","","","","NO2","23","124","49","",""
"","","","","","","","NH3","2","2","2","",""
"","","","","","","","SO2","5","7","6","",""
"","","","","","","","CO","62","66","64","",""
"","","","","","","","OZONE","7","57","34","",""
"","Haryana","Ambala","Patti Mehar, Ambala - HSPCB","20-11-2023 12:00:00","30.379589","76.778328","PM2.5","84","283","163","163","PM2.5"
"","","","","","","","PM10","73","152","110","",""
"","","","","","","","NO2","77","225","158","",""
"","","","","","","","NH3","13","67","34","",""
"","","","","","","","SO2","20","28","25","",""
"","","","","","","","CO","48","113","89","",""
"","","","","","","","OZONE","18","36","27","",""
"","","Bahadurgarh","Arya Nagar, Bahadurgarh - HSPCB","20-11-2023 12:00:00","28.6701","76.9254","PM2.5","204","446","359","359","PM2.5"
"","","","","","","","PM10","106","426","288","",""
"","","","","","","","NO2","31","39","36","",""
"","","","","","","","NH3","10","12","11","",""
"","","","","","","","SO2","1","15","11","",""
"","","","","","","","CO","88","103","99","",""
"","","","","","","","OZONE","55","69","63","",""
"","","Ballabgarh","Nathu Colony, Ballabgarh - HSPCB","20-11-2023 12:00:00","28.3419248","77.319699","PM2.5","149","381","303","303","PM2.5"
"","","","","","","","PM10","109","365","229","",""
"","","","","","","","NO2","11","13","12","",""
"","","","","","","","NH3","1","2","2","",""
"","","","","","","","SO2","2","14","6","",""
"","","","","","","","CO","2","108","30","",""
"","","","","","","","OZONE","1","62","11","",""
"","","Bhiwani","H.B. Colony, Bhiwani - HSPCB","20-11-2023 12:00:00","28.806223","76.141105","PM2.5","74","397","267","267","PM2.5"
"","","","","","","","PM10","109","231","170","",""
"","","","","","","","NO2","3","20","14","",""
"","","","","","","","NH3","1","6","4","",""
"","","","","","","","SO2","7","14","10","",""
"","","","","","","","CO","19","69","58","",""
"","","","","","","","OZONE","17","28","20","",""
"","","Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","20-11-2023 12:00:00","28.593883","76.270653","PM2.5","110","343","244","244","PM2.5"
"","","","","","","","PM10","103","243","157","",""
"","","","","","","","NO2","10","18","12","",""
"","","","","","","","NH3","5","7","6","",""
"","","","","","","","SO2","10","34","16","",""
"","","","","","","","CO","28","103","72","",""
"","","","","","","","OZONE","14","17","15","",""
"","","Dharuhera","Municipal Corporation Office, Dharuhera -  HSPCB","20-11-2023 12:00:00","28.2068","76.7997","PM2.5","114","378","303","303","PM2.5"
"","","","","","","","PM10","100","387","230","",""
"","","","","","","","NO2","45","113","74","",""
"","","","","","","","NH3","9","26","20","",""
"","","","","","","","SO2","13","18","15","",""
"","","","","","","","CO","25","113","45","",""
"","","","","","","","OZONE","3","147","38","",""
"","","Faridabad","New Industrial Town, Faridabad - HSPCB","20-11-2023 12:00:00","28.39072","77.30059","PM2.5","357","377","366","366","PM2.5"
"","","","","","","","PM10","169","500","338","",""
"","","","","","","","NO2","NA","NA","NA","",""
"","","","","","","","NH3","NA","NA","NA","",""
"","","","","","","","SO2","NA","NA","NA","",""
"","","","","","","","CO","4","103","45","",""
"","","","","","","","OZONE","6","58","11","",""
"","","","Sector 11, Faridabad - HSPCB","20-11-2023 12:00:00","28.376058","77.315741","PM2.5","114","456","298","298","PM2.5"
"","","","","","","","PM10","124","436","264","",""
"","","","","","","","NO2","30","32","31","",""
"","","","","","","","NH3","6","6","6","",""
"","","","","","","","SO2","18","20","19","",""
"","","","","","","","CO","39","108","89","",""
"","","","","","","","OZONE","3","5","3","",""
"","","","Sector 30, Faridabad - HSPCB","20-11-2023 12:00:00","28.4417","77.3217","PM2.5","136","500","321","321","PM2.5"
"","","","","","","","PM10","112","500","207","",""
"","","","","","","","NO2","30","33","31","",""
"","","","","","","","NH3","9","9","9","",""
"","","","","","","","SO2","4","8","5","",""
"","","","","","","","CO","28","119","102","",""
"","","","","","","","OZONE","1","37","2","",""
"","","","Sector- 16A, Faridabad - HSPCB","20-11-2023 12:00:00","28.4088421","77.3099081","PM2.5","240","434","338","338","PM2.5"
"","","","","","","","NO2","8","43","25","",""
"","","","","","","","SO2","12","60","46","",""
"","","","","","","","CO","10","85","28","",""
"","","","","","","","OZONE","14","14","14","",""
"","","Fatehabad","Huda Sector, Fatehabad - HSPCB","20-11-2023 12:00:00","29.503664","75.467934","PM2.5","184","423","344","344","PM2.5"
"","","","","","","","PM10","119","344","219","",""
"","","","","","","","NO2","29","32","30","",""
"","","","","","","","NH3","9","11","10","",""
"","","","","","","","SO2","4","53","22","",""
"","","","","","","","CO","5","29","8","",""
"","","","","","","","OZONE","13","77","22","",""
"","","Gurugram","NISE Gwal Pahari, Gurugram - IMD","20-11-2023 12:00:00","28.422681","77.148944","PM2.5","43","324","183","183","PM2.5"
"","","","","","","","PM10","41","194","111","",""
"","","","","","","","NO2","7","80","17","",""
"","","","","","","","CO","63","112","83","",""
"","","","","","","","OZONE","3","61","6","",""
"","","","Sector-51, Gurugram - HSPCB","20-11-2023 12:00:00","28.4227","77.0667","PM2.5","283","438","345","345","PM2.5"
"","","","","","","","PM10","123","456","242","",""
"","","","","","","","NO2","13","18","15","",""
"","","","","","","","NH3","10","14","10","",""
"","","","","","","","SO2","2","4","3","",""
"","","","","","","","CO","45","131","106","",""
"","","","","","","","OZONE","9","41","11","",""
"","","","Teri Gram, Gurugram - HSPCB","20-11-2023 12:00:00","28.4275","77.1465","PM2.5","172","314","235","235","PM2.5"
"","","","","","","","PM10","123","229","152","",""
"","","","","","","","NO2","8","24","12","",""
"","","","","","","","NH3","15","21","16","",""
"","","","","","","","SO2","2","5","4","",""
"","","","","","","","CO","27","51","35","",""
"","","","","","","","OZONE","16","76","20","",""
"","","","Vikas Sadan, Gurugram - HSPCB","20-11-2023 12:00:00","28.4501238","77.0263051","PM2.5","54","325","226","226","PM2.5"
"","","","","","","","NO2","5","24","13","",""
"","","","","","","","SO2","11","77","42","",""
"","","","","","","","CO","54","129","104","",""
"","","","","","","","OZONE","8","69","17","",""
"","","Hisar","Urban Estate-II, Hisar - HSPCB","20-11-2023 12:00:00","29.14056","75.744941","PM2.5","84","348","274","274","PM2.5"
"","","","","","","","PM10","107","358","179","",""
"","","","","","","","NO2","6","9","8","",""
"","","","","","","","NH3","2","3","3","",""
"","","","","","","","SO2","43","114","91","",""
"","","","","","","","CO","40","133","94","",""
"","","","","","","","OZONE","2","164","16","",""
"","","Jind","Police Lines, Jind - HSPCB","20-11-2023 12:00:00","29.307814","76.337619","PM2.5","114","373","279","279","PM2.5"
"","","","","","","","PM10","104","232","163","",""
"","","","","","","","NO2","9","15","12","",""
"","","","","","","","NH3","2","6","4","",""
"","","","","","","","SO2","1","19","6","",""
"","","","","","","","CO","16","73","29","",""
"","","","","","","","OZONE","2","29","7","",""
"","","Kaithal","Rishi Nagar, Kaithal - HSPCB","20-11-2023 12:00:00","29.8006","76.4155","PM2.5","119","320","221","221","PM2.5"
"","","","","","","","PM10","138","242","173","",""
"","","","","","","","NO2","24","26","25","",""
"","","","","","","","NH3","8","8","8","",""
"","","","","","","","SO2","4","47","21","",""
"","","","","","","","CO","10","92","54","",""
"","","","","","","","OZONE","16","79","31","",""
"","","Karnal","Sector-12, Karnal - HSPCB","20-11-2023 12:00:00","29.6953","77.0027","PM2.5","75","279","158","158","PM2.5"
"","","","","","","","PM10","83","190","135","",""
"","","","","","","","NO2","7","12","10","",""
"","","","","","","","NH3","10","13","11","",""
"","","","","","","","SO2","1","45","15","",""
"","","","","","","","CO","5","5","5","",""
"","","","","","","","OZONE","11","12","11","",""
"","","Kurukshetra","Sector-7, Kurukshetra - HSPCB","20-11-2023 12:00:00","29.966942","76.875879","PM2.5","123","314","230","230","PM2.5"
"","","","","","","","PM10","101","176","132","",""
"","","","","","","","NO2","17","21","19","",""
"","","","","","","","NH3","6","6","6","",""
"","","","","","","","SO2","1","43","13","",""
"","","","","","","","CO","19","120","35","",""
"","","","","","","","OZONE","3","90","11","",""
"","","Mandikhera","General Hospital, Mandikhera - HSPCB","20-11-2023 12:00:00","27.9002","76.9938","PM2.5","31","63","46","134","PM10"
"","","","","","","","PM10","130","170","134","",""
"","","","","","","","NO2","17","21","19","",""
"","","","","","","","NH3","18","20","19","",""
"","","","","","","","SO2","31","40","35","",""
"","","","","","","","CO","8","70","58","",""
"","","","","","","","OZONE","24","35","30","",""
"","","Manesar","Sector-2 IMT, Manesar - HSPCB","20-11-2023 12:00:00","28.360699","76.93609","PM2.5","91","336","234","234","PM2.5"
"","","","","","","","PM10","109","299","184","",""
"","","","","","","","NO2","2","2","2","",""
"","","","","","","","NH3","6","18","13","",""
"","","","","","","","SO2","5","92","25","",""
"","","","","","","","CO","16","116","50","",""
"","","","","","","","OZONE","4","104","22","",""
"","","Narnaul","Shastri Nagar, Narnaul - HSPCB","20-11-2023 12:00:00","28.060249","76.113115","PM2.5","71","329","234","234","PM2.5"
"","","","","","","","PM10","57","228","160","",""
"","","","","","","","NO2","116","182","149","",""
"","","","","","","","NH3","38","65","52","",""
"","","","","","","","SO2","11","12","12","",""
"","","","","","","","CO","8","16","15","",""
"","","","","","","","OZONE","1","88","6","",""
"","","Palwal","Shyam Nagar, Palwal - HSPCB","20-11-2023 12:00:00","28.1485564","77.3320667","PM2.5","31","72","58","131","PM10"
"","","","","","","","PM10","75","193","131","",""
"","","","","","","","NO2","5","6","5","",""
"","","","","","","","NH3","2","3","3","",""
"","","","","","","","SO2","2","17","9","",""
"","","","","","","","CO","30","60","54","",""
"","","","","","","","OZONE","4","45","10","",""
"","","Panchkula","Sector-6, Panchkula - HSPCB ","20-11-2023 12:00:00","30.7057778","76.853180555555","PM2.5","26","96","50","50","PM2.5"
"","","","","","","","NO2","24","26","25","",""
"","","","","","","","SO2","9","10","9","",""
"","","","","","","","CO","26","28","27","",""
"","","","","","","","OZONE","43","54","47","",""
"","","Panipat","Sector-18, Panipat - HSPCB","20-11-2023 12:00:00","29.497973","76.993331","PM2.5","155","182","165","165","PM2.5"
"","","","","","","","PM10","148","161","153","",""
"","","","","","","","NO2","28","31","30","",""
"","","","","","","","NH3","2","3","2","",""
"","","","","","","","SO2","12","13","12","",""
"","","","","","","","CO","23","28","25","",""
"","","","","","","","OZONE","30","35","32","",""
"","","Rohtak","MD University, Rohtak - HSPCB","20-11-2023 12:00:00","28.52123","76.37138","PM2.5","130","362","287","287","PM2.5"
"","","","","","","","NO2","31","40","35","",""
"","","","","","","","SO2","1","18","9","",""
"","","","","","","","CO","10","111","22","",""
"","","","","","","","OZONE","35","43","40","",""
"","","Sirsa","F-Block, Sirsa - HSPCB","20-11-2023 12:00:00","29.5364","75.0158","PM2.5","260","432","334","334","PM2.5"
"","","","","","","","PM10","134","389","201","",""
"","","","","","","","NO2","10","28","13","",""
"","","","","","","","NH3","12","41","18","",""
"","","","","","","","SO2","12","26","18","",""
"","","","","","","","CO","48","110","101","",""
"","","","","","","","OZONE","23","47","39","",""
"","","Sonipat","Murthal, Sonipat - HSPCB","20-11-2023 12:00:00","29.0272","77.0621","PM2.5","175","411","367","367","PM2.5"
"","","","","","","","PM10","105","298","231","",""
"","","","","","","","NO2","37","44","40","",""
"","","","","","","","NH3","5","10","9","",""
"","","","","","","","SO2","12","29","20","",""
"","","","","","","","CO","20","59","54","",""
"","","","","","","","OZONE","16","36","22","",""
"","","Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","20-11-2023 12:00:00","30.1480566","77.2893471","PM2.5","67","240","143","143","PM2.5"
"","","","","","","","PM10","84","175","133","",""
"","","","","","","","NO2","11","103","39","",""
"","","","","","","","NH3","7","17","10","",""
"","","","","","","","SO2","2","10","6","",""
"","","","","","","","CO","38","117","56","",""
"","","","","","","","OZONE","6","33","8","",""
"","Himachal Pradesh","Baddi","HIMUDA Complex Phase-1, Baddi - HPPCB","20-11-2023 12:00:00","30.943887","76.801991","PM2.5","65","302","110","110","PM2.5"
"","","","","","","","PM10","76","198","106","",""
"","","","","","","","NO2","12","62","20","",""
"","","","","","","","NH3","3","5","4","",""
"","","","","","","","SO2","12","45","20","",""
"","","","","","","","CO","16","57","25","",""
"","","","","","","","OZONE","52","152","80","",""
"","Jammu_&_Kashmir","Srinagar","Rajbagh, Srinagar - JKSPCB","20-11-2023 12:00:00","34.066206","74.81982","PM2.5","NA","NA","NA","",""
"","","","","","","","PM10","NA","NA","NA","",""
"","","","","","","","NO2","NA","NA","NA","",""
"","","","","","","","NH3","NA","NA","NA","",""
"","","","","","","","SO2","NA","NA","NA","",""
"","","","","","","","CO","18","32","20","",""
"","","","","","","","OZONE","6","13","6","",""
"","Jharkhand","Dhanbad","Sardar Patel Nagar, Dhanbad - JSPCB","20-11-2023 12:00:00","23.80569","86.44268","PM2.5","NA","NA","NA","",""
"","","","","","","","PM10","NA","NA","NA","",""
"","","","","","","","NO2","NA","NA","NA","",""
"","","","","","","","SO2","NA","NA","NA","",""
"","","","","","","","OZONE","9","16","10","",""
"","Karnataka","Bagalkot","Vidayagiri, Bagalkot - KSPCB","20-11-2023 12:00:00","16.172806","75.659694","PM2.5","27","41","40","40","PM2.5"
"","","","","","","","PM10","38","46","39","",""
"","","","","","","","NO2","15","17","17","",""
"","","","","","","","NH3","2","2","2","",""
"","","","","","","","SO2","8","10","8","",""
"","","","","","","","CO","20","42","30","",""
"","","","","","","","OZONE","1","21","8","",""
"","","Belgaum","Ramteerth Nagar, Belgaum - KSPCB","20-11-2023 12:00:00","15.888653","74.541751","PM2.5","18","50","29","66","PM10"
"","","","","","","","PM10","34","97","66","",""
"","","","","","","","NO2","1","33","10","",""
"","","","","","","","NH3","1","2","1","",""
"","","","","","","","SO2","12","18","14","",""
"","","","","","","","CO","46","48","46","",""
"","","","","","","","OZONE","19","20","20","",""
"","","Bengaluru","BTM Layout, Bengaluru - CPCB","20-11-2023 12:00:00","12.9135218","77.5950804","PM2.5","22","54","31","49","CO"
"","","","","","","","PM10","34","63","44","",""
"","","","","","","","NO2","28","28","28","",""
"","","","","","","","NH3","3","3","3","",""
"","","","","","","","SO2","9","12","12","",""
"","","","","","","","CO","38","54","49","",""
"","","","","","","","OZONE","26","42","27","",""
"","","","Bapuji Nagar, Bengaluru - KSPCB","20-11-2023 12:00:00","12.951913","77.539784","PM2.5","55","120","80","80","PM2.5"
"","","","","","","","PM10","48","118","73","",""
"","","","","","","","NO2","9","13","11","",""
"","","","","","","","NH3","1","1","1","",""
"","","","","","","","SO2","6","7","6","",""
"","","","","","","","CO","14","88","50","",""
"","","","","","","","OZONE","10","12","11","",""
"","","","City Railway Station, Bengaluru - KSPCB","20-11-2023 12:00:00","12.9756843","77.5660749","PM10","79","103","90","90","PM10"
"","","","","","","","NO2","25","27","26","",""
"","","","","","","","SO2","13","14","13","",""
"","","","","","","","CO","54","92","67","",""
"","","","Hebbal, Bengaluru - KSPCB","20-11-2023 12:00:00","13.029152","77.585901","PM2.5","21","62","44","49","PM10"
"","","","","","","","PM10","32","68","49","",""
"","","","","","","","SO2","26","33","30","",""
"","","","","","","","OZONE","7","8","8","",""
"","","","Hombegowda Nagar, Bengaluru - KSPCB","20-11-2023 12:00:00","12.938539","77.5901","PM2.5","32","56","41","42","PM10"
"","","","","","","","PM10","31","56","42","",""
"","","","","","","","SO2","4","5","5","",""
"","","","","","","","CO","10","25","14","",""
"","","","","","","","OZONE","20","47","38","",""
"","","","Jayanagar 5th Block, Bengaluru - KSPCB","20-11-2023 12:00:00","12.920984","77.584908","PM2.5","42","84","59","70","PM10"
"","","","","","","","PM10","44","118","70","",""
"","","","","","","","NO2","12","18","14","",""
"","","","","","","","NH3","3","4","4","",""
"","","","","","","","SO2","19","25","21","",""
"","","","","","","","CO","1","79","32","",""
"","","","","","","","OZONE","26","36","34","",""
"","","","Jigani, Bengaluru - KSPCB","20-11-2023 12:00:00","12.7816279","77.6299145","PM2.5","22","86","49","71","PM10"
"","","","","","","","PM10","47","94","71","",""
"","","","","","","","NO2","35","36","35","",""
"","","","","","","","NH3","3","3","3","",""
"","","","","","","","SO2","16","16","16","",""
"","","","","","","","CO","34","73","47","",""
"","","","","","","","OZONE","23","66","45","",""
"","","","Kasturi Nagar, Bengaluru - KSPCB","20-11-2023 12:00:00","13.003872","77.664217","PM2.5","16","48","34","37","PM10"
"","","","","","","","PM10","18","54","37","",""
"","","","","","","","NO2","16","17","17","",""
"","","","","","","","NH3","4","4","4","",""
"","","","","","","","SO2","8","8","8","",""
"","","","","","","","CO","23","26","25","",""
"","","","","","","","OZONE","1","41","15","",""
"","","","Peenya, Bengaluru - CPCB","20-11-2023 12:00:00","13.0270199","77.494094","PM2.5","18","52","34","37","CO"
"","","","","","","","PM10","23","57","36","",""
"","","","","","","","NO2","18","25","22","",""
"","","","","","","","NH3","5","5","5","",""
"","","","","","","","SO2","5","16","9","",""
"","","","","","","","CO","22","44","37","",""
"","","","","","","","OZONE","34","34","34","",""
"","","","RVCE-Mailasandra, Bengaluru - KSPCB","20-11-2023 12:00:00","12.921418","77.502466","PM2.5","NA","NA","NA","",""
"","","","","","","","PM10","NA","NA","NA","",""
"","","","","","","","NO2","31","31","31","",""
"","","","","","","","NH3","4","4","4","",""
"","","","","","","","SO2","7","10","8","",""
"","","","","","","","CO","44","59","52","",""
"","","","","","","","OZONE","40","40","40","",""
"","","","Sanegurava Halli, Bengaluru - KSPCB","20-11-2023 12:00:00","12.990328","77.5431385","PM10","40","47","43","43","PM10"
"","","","","","","","NO2","21","37","26","",""
"","","","","","","","SO2","2","3","2","",""
"","","","","","","","CO","16","54","31","",""
"","","","Shivapura_Peenya, Bengaluru - KSPCB","20-11-2023 12:00:00","13.0246342","77.5080115","PM2.5","20","54","38","43","PM10"
"","","","","","","","PM10","31","51","43","",""
"","","","","","","","NO2","15","16","15","",""
"","","","","","","","NH3","4","4","4","",""
"","","","","","","","SO2","5","21","8","",""
"","","","","","","","CO","16","38","26","",""
"","","","","","","","OZONE","13","45","26","",""
"","","","Silk Board, Bengaluru - KSPCB","20-11-2023 12:00:00","12.917348","77.622813","PM2.5","53","227","92","92","PM2.5"
"","","","","","","","PM10","45","126","72","",""
"","","","","","","","NO2","23","33","26","",""
"","","","","","","","NH3","2","3","2","",""
"","","","","","","","SO2","4","10","7","",""
"","","","","","","","CO","2","30","13","",""
"","","","","","","","OZONE","16","45","23","",""
"","","Bidar","Naubad, Bidar - KSPCB","20-11-2023 12:00:00","17.930306","77.482194","PM2.5","60","222","106","106","PM2.5"
"","","","","","","","PM10","70","121","92","",""
"","","","","","","","NO2","7","9","8","",""
"","","","","","","","NH3","2","3","3","",""
"","","","","","","","SO2","14","20","16","",""
"","","","","","","","CO","25","56","31","",""
"","","","","","","","OZONE","20","41","29","",""
"","","Chamarajanagar","Urban, Chamarajanagar - KSPCB","20-11-2023 12:00:00","11.55358","76.55521","PM2.5","20","45","30","44","PM10"
"","","","","","","","PM10","37","55","44","",""
"","","","","","","","NO2","25","32","29","",""
"","","","","","","","NH3","1","2","2","",""
"","","","","","","","SO2","2","8","4","",""
"","","","","","","","CO","18","62","20","",""
"","","","","","","","OZONE","14","35","21","",""
"","","Chikkaballapur","Chikkaballapur Rural, Chikkaballapur - KSPCB","20-11-2023 12:00:00","13.428828","77.731418","PM2.5","29","67","49","49","PM2.5"
"","","","","","","","PM10","22","63","42","",""
"","","","","","","","NO2","3","12","6","",""
"","","","","","","","NH3","1","1","1","",""
"","","","","","","","SO2","11","16","13","",""
"","","","","","","","CO","22","30","25","",""
"","","","","","","","OZONE","27","44","35","",""
"","","Chikkamagaluru","Kalyana Nagara, Chikkamagaluru - KSPCB","20-11-2023 12:00:00","13.328028","75.797056","PM2.5","9","71","37","46","PM10"
"","","","","","","","PM10","23","72","46","",""
"","","","","","","","NO2","17","24","20","",""
"","","","","","","","NH3","3","4","3","",""
"","","","","","","","SO2","1","6","4","",""
"","","","","","","","CO","11","92","27","",""
"","","","","","","","OZONE","15","53","23","",""
"","","Davanagere","Devaraj Urs Badavane, Davanagere - KSPCB","20-11-2023 12:00:00","14.4758","75.9052","PM2.5","33","65","45","53","PM10"
"","","","","","","","PM10","35","78","53","",""
"","","","","","","","NO2","8","12","11","",""
"","","","","","","","NH3","1","1","1","",""
"","","","","","","","SO2","1","6","3","",""
"","","","","","","","CO","10","16","14","",""
"","","","","","","","OZONE","16","26","22","",""
"","","Dharwad","Kalabhavan, Dharwad - KSPCB","20-11-2023 12:00:00","15.459706","75.008381","PM2.5","12","30","22","62","CO"
"","","","","","","","PM10","18","51","39","",""
"","","","","","","","NO2","7","31","19","",""
"","","","","","","","NH3","3","3","3","",""
"","","","","","","","SO2","3","6","4","",""
"","","","","","","","CO","32","112","62","",""
"","","","","","","","OZONE","14","78","38","",""
"","","Gadag","Panchal Nagar, Gadag - KSPCB","20-11-2023 12:00:00","15.411456","75.638133","PM2.5","16","38","27","49","CO"
"","","","","","","","PM10","21","36","30","",""
"","","","","","","","NO2","7","19","13","",""
"","","","","","","","NH3","1","2","2","",""
"","","","","","","","SO2","2","9","4","",""
"","","","","","","","CO","46","55","49","",""
"","","","","","","","OZONE","21","45","25","",""
"","","Hassan","B.Katihalli, Hassan - KSPCB","20-11-2023 12:00:00","13.008556","76.125258","PM2.5","40","73","53","64","PM10"
"","","","","","","","PM10","47","88","64","",""
"","","","","","","","NO2","7","35","16","",""
"","","","","","","","NH3","2","5","3","",""
"","","","","","","","SO2","5","36","16","",""
"","","","","","","","CO","10","35","14","",""
"","","","","","","","OZONE","2","22","12","",""
"","","Haveri","Ashwini Nagar, Haveri - KSPCB","20-11-2023 12:00:00","14.7918","75.3896","PM2.5","36","98","64","76","PM10"
"","","","","","","","PM10","50","111","76","",""
"","","","","","","","NO2","15","35","20","",""
"","","","","","","","NH3","3","6","3","",""
"","","","","","","","SO2","19","19","19","",""
"","","","","","","","CO","40","41","40","",""
"","","","","","","","OZONE","19","20","19","",""
"","","Hubballi","Deshpande Nagar, Hubballi - KSPCB","20-11-2023 12:00:00","15.351773","75.140726","PM2.5","36","73","54","59","CO"
"","","","","","","","PM10","NA","NA","NA","",""
"","","","","","","","NO2","22","27","25","",""
"","","","","","","","NH3","8","15","12","",""
"","","","","","","","SO2","11","11","11","",""
"","","","","","","","CO","53","66","59","",""
"","","","","","","","OZONE","24","58","33","",""
"","","","Lingaraj Nagar, Hubballi - KSPCB","20-11-2023 12:00:00","15.3714823","75.1160168","PM2.5","17","50","28","44","OZONE"
"","","","","","","","PM10","22","42","32","",""
"","","","","","","","NO2","7","8","8","",""
"","","","","","","","NH3","2","2","2","",""
"","","","","","","","SO2","1","6","1","",""
"","","","","","","","CO","20","44","33","",""
"","","","","","","","OZONE","27","99","44","",""
"","","Kalaburagi","Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","20-11-2023 12:00:00","17.321993","76.822628","PM10","4","105","37","65","SO2"
"","","","","","","","NO2","11","12","12","",""
"","","","","","","","NH3","1","1","1","",""
"","","","","","","","SO2","18","69","65","",""
"","","","","","","","CO","30","44","31","",""
"","","","","","","","OZONE","6","58","19","",""
"","","","Mahatma Basaveswar Colony, Kalaburgi - KSPCB","20-11-2023 12:00:00","17.336318","76.847397","PM2.5","20","48","29","48","PM10"
"","","","","","","","PM10","29","71","48","",""
"","","","","","","","NO2","5","16","9","",""
"","","","","","","","NH3","1","5","3","",""
"","","","","","","","SO2","3","11","5","",""
"","","","","","","","CO","35","54","41","",""
"","","","","","","","OZONE","21","66","34","",""
"","","Kolar","Tamaka Ind. Area, Kolar - KSPCB","20-11-2023 12:00:00","13.1276288","78.1570122","PM2.5","NA","NA","NA","",""
"","","","","","","","PM10","NA","NA","NA","",""
"","","","","","","","NO2","6","50","13","",""
"","","","","","","","NH3","3","6","4","",""
"","","","","","","","SO2","11","13","13","",""
"","","","","","","","CO","101","106","104","",""
"","","","","","","","OZONE","14","47","28","",""
"","","Koppal","Diwator Nagar, Koppal - KSPCB","20-11-2023 12:00:00","15.34763","76.181767","PM2.5","22","36","28","47","PM10"
"","","","","","","","PM10","34","63","47","",""
"","","","","","","","NO2","5","22","12","",""
"","","","","","","","NH3","4","9","5","",""
"","","","","","","","SO2","18","37","23","",""
"","","","","","","","CO","34","78","46","",""
"","","","","","","","OZONE","9","42","16","",""
"","","Madikeri","Stuart Hill, Madikeri - KSPCB","20-11-2023 12:00:00","12.415911","75.73505","PM2.5","12","40","26","31","PM10"
"","","","","","","","PM10","18","45","31","",""
"","","","","","","","NO2","7","15","9","",""
"","","","","","","","NH3","NA","NA","NA","",""
"","","","","","","","SO2","4","4","4","",""
"","","","","","","","CO","3","46","16","",""
"","","","","","","","OZONE","23","34","30","",""
"","","Mangalore","Kadri, Mangalore - KSPCB","20-11-2023 12:00:00","12.88925","74.853","PM2.5","NA","NA","NA","",""
"","","","","","","","PM10","NA","NA","NA","",""
"","","","","","","","NO2","NA","NA","NA","",""
"","","","","","","","NH3","NA","NA","NA","",""
"","","","","","","","SO2","NA","NA","NA","",""
"","","","","","","","CO","41","83","52","",""
"","","","","","","","OZONE","30","36","33","",""
"","","Mysuru","Hebbal 1st Stage, Mysuru - KSPCB","20-11-2023 12:00:00","12.21041","76.37376","PM2.5","19","37","28","39","PM10"
"","","","","","","","PM10","29","52","39","",""
